id;questionId;text;isCorrect
1;13630;Da vida.;0
2;13630;Da luz.;1
3;13630;Da salvação.;0
4;13630;Da eternidade.;0
5;13631;Samaria.;0
6;13631;Gadara.;0
7;13631;Jerusalém;0
8;13631;Cafarnaum.;1
9;13632;Tiberíades.;0
10;13632;Judeia.;0
11;13632;Enom.;1
12;13632;Samaria.;0
13;13633;Filipe.;1
14;13633;Pedro.;0
15;13633;André.;0
16;13633;Tiago.;0
17;13634;Jericó.;0
18;13634;Zeboim;0
19;13634;Gadara.;0
20;13634;Sicar.;1
21;13635;Grego.;0
22;13635;Aramaico.;0
23;13635;Hebraico.;1
24;13635;Romano.;0
25;13636;André.;0
26;13636;Filipe.;1
27;13636;Tiago.;0
28;13636;Bartolomeu.;0
29;13637;Jonas.;0
30;13637;Timeu.;0
31;13637;Barjesus.;0
32;13637;Simão.;1
33;13638;Nicodemos.;1
34;13638;João Batista.;0
35;13638;Pedro.;0
36;13638;Jairo.;0
37;13639;Roubo.;0
38;13639;Assassinato.;0
39;13639;Adultério.;1
40;13639;Mentira.;0
41;13640;Grego.;0
42;13640;Aramaico.;0
43;13640;Hebraico.;1
44;13640;Romano.;0
45;13641;André.;0
46;13641;Filipe.;1
47;13641;Tiago.;0
48;13641;Bartolomeu.;0
49;13642;Jonas.;0
50;13642;Timeu.;0
51;13642;Barjesus.;0
52;13642;Simão.;1
53;13643;Nicodemos.;1
54;13643;João Batista.;0
55;13643;Pedro.;0
56;13643;Jairo.;0
57;13644;Roubo.;0
58;13644;Assassinato.;0
59;13644;Adultério.;1
60;13644;Mentira.;0
61;13645;Malta;0
62;13645;Talco;0
63;13645;Asafe;0
64;13645;Malco;1
65;13646;Caná da Galileia;1
66;13646;Nazaré;0
67;13646;Jerusalém;0
68;13646;Cafarnaum;0
69;13647;Monte das Oliveiras;0
70;13647;Gólgota (Lugar da Caveira);1
71;13647;Monte Sinai;0
72;13647;Monte Nebo;0
73;13648;No rio Jordão, em Jericó.;0
