id;questionId;text;isCorrect
1000000;100000;Doze gerações em cada período.;0
1000001;100000;Quatorze gerações em cada período.;1
1000002;100000;Sete gerações em cada período.;0
1000003;100000;Dez gerações em cada período.;0
1000004;100001;Zacarias.;0
1000005;100001;Joaquim.;0
1000006;100001;José.;1
1000007;100001;Jacó.;0
1000008;100002;Deus conosco.;1
1000009;100002;Deus é nossa salvação.;0
1000010;100002;Ungido do Senhor.;0
1000011;100002;Deus é fiel.;0
1000012;100003;Em Nazaré da Galileia.;0
1000013;100003;Em Belém da Judeia.;1
1000014;100003;Em Jerusalém.;0
1000015;100003;Em Cafarnaum.;0
1000016;100004;Ouro, prata e pedras preciosas.;0
1000017;100004;Mirra, canela e azeite.;0
1000018;100004;Incenso, mel e linho.;0
1000019;100004;Ouro, incenso e mirra.;1
1000020;100005;Síria.;0
1000021;100005;Egito.;1
1000022;100005;Líbano.;0
1000023;100005;Babilônia.;0
1000024;100006;Pão e peixe.;0
1000025;100006;Mel silvestre e ervas amargas.;0
1000026;100006;Gafanhotos e mel silvestre.;1
1000027;100006;Frutos do deserto e água.;0
1000028;100007;O sol escureceu e a terra tremeu.;0
1000029;100007;Os céus se abriram e o Espírito de Deus desceu como pomba.;1
1000030;100007;Uma nuvem cobriu a todos e anjos cantaram.;0
1000031;100007;João Batista foi arrebatado aos céus.;0
1000032;100008;"""Nem só de pão viverá o homem, mas de toda palavra que sai da boca de Deus"".";1
1000033;100008;"""Não tentarás o Senhor, teu Deus"".";0
1000034;100008;"""Ao Senhor, teu Deus, adorarás e só a ele darás culto"".";0
1000035;100008;"""Meu alimento é fazer a vontade daquele que me enviou"".";0
1000036;100009;Tiago e João.;0
1000037;100009;Filipe e Natanael.;0
1000038;100009;Simão Pedro e André.;1
1000039;100009;Mateus e Tomé.;0
1000040;100010;Os humildes de espírito.;0
1000041;100010;Os limpos de coração.;1
1000042;100010;Os que choram.;0
1000043;100010;Os misericordiosos.;0
1000044;100011;Ouro da terra e luz do templo.;0
1000045;100011;Semente do mundo e água da vida.;0
1000046;100011;Sal da terra e luz do mundo.;1
1000047;100011;Fermento da massa e luz das nações.;0
1000048;100012;No céu.;1
1000049;100012;No templo.;0
1000050;100012;Em boas amizades.;0
1000051;100012;Em propriedades seguras.;0
1000052;100013;A tua paz.;0
1000053;100013;O teu reino.;1
1000054;100013;A tua glória.;0
1000055;100013;O teu poder.;0
1000056;100014;A sabedoria e o conhecimento.;0
1000057;100014;A prosperidade e a saúde.;0
1000058;100014;O seu reino e a sua justiça.;1
1000059;100014;O amor ao próximo.;0
1000060;100015;"""Não julgueis para não serdes julgados"".";0
1000061;100015;"""Tudo o que vós quereis que os homens vos façam, fazei-lho também vós"".";1
1000062;100015;"""Amai os vossos inimigos e orai pelos que vos perseguem"".";0
1000063;100015;"""Buscai e achareis; batei e abrir-se-vos-á"".";0
1000064;100016;É comparado ao homem que edificou a sua casa sobre a rocha.;1
1000065;100016;Receberá riquezas e honras diante de todos.;0
1000066;100016;Nunca mais passará por aflições ou tempestades.;0
1000067;100016;Será levado pelos anjos diretamente ao céu.;0
1000068;100017;"""Vem depressa e cura o meu servo"".";0
1000069;100017;"""Senhor, eu creio, mas ajuda a minha incredulidade"".";0
1000070;100017;"""Senhor, não sou digno de que entres sob o meu teto; mas apenas dize uma palavra"".";1
1000071;100017;"""Mestre, eu te seguirei por onde quer que fores"".";0
1000072;100018;Orou ao Pai em voz alta.;0
1000073;100018;Repreendeu os ventos e o mar.;1
1000074;100018;Jogou azeite sobre as águas.;0
1000075;100018;Ordenou que os discípulos remassem com mais força.;0
1000076;100019;Pescador.;0
1000077;100019;Carpinteiro.;0
1000078;100019;Médico.;0
1000079;100019;Publicano (cobrador de impostos).;1
1000080;100020;Rogai ao Senhor da seara que envie trabalhadores.;1
1000081;100020;Ide vós mesmos e pregai em todas as vilas.;0
1000082;100020;Pagai salários justos aos que trabalham no templo.;0
1000083;100020;Treinai os jovens para a missão.;0
1000084;100021;Fortes como leões e rápidos como águias.;0
1000085;100021;Prudentes como as serpentes e símplices como as pombas.;1
1000086;100021;Valentes como soldados e humildes como servos.;0
1000087;100021;Sábios como mestres e puros como crianças.;0
1000088;100022;"""Eu vos darei riquezas"".";0
1000089;100022;"""Eu vos curarei as feridas"".";0
1000090;100022;"""Vinde a mim... e eu vos aliviarei"".";1
1000091;100022;"""Segui-me e sereis reis"".";0
1000092;100023;O assassinato de um inocente.;0
1000093;100023;A blasfêmia contra o Espírito Santo.;1
1000094;100023;A negação da fé sob perseguição.;0
1000095;100023;A adoração a ídolos falsos.;0
1000096;100024;Os que ouvem a palavra e a compreendem, e dão fruto.;1
1000097;100024;Os que ouvem, mas são sufocados pelos cuidados do mundo.;0
1000098;100024;Os que recebem com alegria, mas não têm raiz em si mesmos.;0
1000099;100024;Os anjos que espalham a mensagem pelo mundo.;0
1000100;100025;Um palácio de ouro e uma coroa real.;0
1000101;100025;Um exército invencível e uma espada afiada.;0
1000102;100025;Um tesouro escondido no campo e uma pérola de grande valor.;1
1000103;100025;Uma fonte de água viva e um pão que nunca acaba.;0
1000104;100026;Sete pães e alguns peixinhos.;0
1000105;100026;Cinco pães e dois peixes.;1
1000106;100026;Doze pães e três peixes.;0
1000107;100026;Dez pães e cinco peixes.;0
1000108;100027;João.;0
1000109;100027;Tiago.;0
1000110;100027;André.;0
1000111;100027;Pedro.;1
1000112;100028;O que entra pela boca.;0
1000113;100028;O que sai da boca.;1
1000114;100028;Ambos contaminam igualmente.;0
1000115;100028;Nada do que se come ou fala contamina o espírito.;0
1000116;100029;"""Tu és o maior dos profetas de Israel"".";0
1000117;100029;"""Tu és o Mestre que havia de vir ao mundo"".";0
1000118;100029;"""Tu és o Cristo, o Filho do Deus vivo"".";1
1000119;100029;"""Tu és o Rei dos Judeus"".";0
1000120;100030;Abraão e Isaque.;0
1000121;100030;Moisés e Elias.;1
1000122;100030;Noé e Enoque.;0
1000123;100030;Davi e Salomão.;0
1000124;100031;Aquele que se humilhar como uma criança.;1
1000125;100031;Aquele que der todos os seus bens aos pobres.;0
1000126;100031;Os doze apóstolos que O seguiram.;0
1000127;100031;O sumo sacerdote que serve no templo.;0
1000128;100032;Até sete vezes.;0
1000129;100032;Até setenta vezes.;0
1000130;100032;Até sete vezes setenta.;0
1000131;100032;Até setenta vezes sete.;1
1000132;100033;"""Ora e jejua por quarenta dias"".";0
1000133;100033;"""Vende os teus bens, dá aos pobres e segue-me"".";1
1000134;100033;"""Torna-te um mestre da lei em Jerusalém"".";0
1000135;100033;"""Lava-te sete vezes no rio Jordão"".";0
1000136;100034;Um denário.;1
1000137;100034;Dez moedas de prata.;0
1000138;100034;Meio denário.;0
1000139;100034;Dois denários.;0
1000140;100035;Montado em um cavalo branco de guerra.;0
1000141;100035;Caminhando sobre mantos e ramos.;0
1000142;100035;Montado em uma jumenta e num jumentinho.;1
1000143;100035;Carregado em uma liteira real.;0
1000144;100036;"""Amarás o teu próximo como a ti mesmo"".";0
1000145;100036;"""Não terás outros deuses diante de mim"".";0
1000146;100036;"""Honrarás a teu pai e a tua mãe"".";0
1000147;100036;"""Amarás o Senhor, teu Deus, de todo o teu coração"".";1
1000148;100037;Como luzes que brilham na escuridão.;0
1000149;100037;Como sepulcros caiados.;1
1000150;100037;Como guias cegos que conduzem ao céu.;0
1000151;100037;Como pastores fiéis de Israel.;0
1000152;100038;Porque eram mais ricas que as outras.;0
1000153;100038;Porque chegaram mais cedo ao local.;0
1000154;100038;Porque levaram azeite em suas vasilhas com as lâmpadas.;1
1000155;100038;Porque conheciam o noivo pessoalmente.;0
1000156;100039;"""Muito bem, servo bom e fiel; foste fiel no pouco, sobre o muito te colocarei"".";1
1000157;100039;"""Agora podes descansar e viver do teu lucro"".";0
1000158;100039;"""Dá o que ganhaste ao servo que nada produziu"".";0
1000159;100039;"""Vai e negocia em outras cidades para ganhar mais"".";0
1000160;100040;Cinquenta moedas de ouro.;0
1000161;100040;Trinta moedas de prata.;1
1000162;100040;Cem denários.;0
1000163;100040;Dez talentos de prata.;0
1000164;100041;O corpo e o sangue de Jesus.;1
1000165;100041;A lei e os profetas.;0
1000166;100041;O maná do deserto e a água da rocha.;0
1000167;100041;A vida eterna e a ressurreição.;0
1000168;100042;No monte das Oliveiras.;0
1000169;100042;No jardim do Getsêmani.;1
1000170;100042;No pátio do Templo.;0
1000171;100042;Na casa de Caifás.;0
1000172;100043;Uma vez.;0
1000173;100043;Duas vezes.;0
1000174;100043;Três vezes.;1
1000175;100043;Sete vezes.;0
1000176;100044;Simão Cirineu.;1
1000177;100044;José de Arimateia.;0
1000178;100044;Barrabás.;0
1000179;100044;Nicodemos.;0
1000180;100045;"""Este é Jesus, o Nazareno"".";0
1000181;100045;"""Este é Jesus, o Rei dos Judeus"".";1
1000182;100045;"""O Filho de Deus e Salvador"".";0
1000183;100045;"""Inri - Jesus de Nazaré"".";0
1000184;100046;O altar de ouro derreteu.;0
1000185;100046;As luzes se apagaram para sempre.;0
1000186;100046;O véu do santuário se rasgou em dois, de alto a baixo.;1
1000187;100046;O sumo sacerdote caiu morto.;0
1000188;100047;Lázaro de Betânia.;0
